,Arsenal,Aston Villa,Birmingham,Blackburn,Blackpool,Bolton,Bournemouth,Brighton,Burnley,Cardiff,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield,Hull,Leeds,Leicester,Liverpool,Man City,Man United,Middlesbrough,Newcastle,Norwich,Portsmouth,QPR,Reading,Sheffield United,Southampton,Stoke,Sunderland,Swansea,Tottenham,Watford,West Brom,West Ham,Wigan,Wolves
Arsenal,0.0,185.0,187.0,359.0,381.0,342.0,186.0,134.0,378.0,261.0,12.7,20.0,337.0,16.4,302.0,294.0,309.0,160.0,337.0,321.0,318.0,402.0,451.0,186.0,149.0,12.7,84.6,253.0,146.0,250.0,441.0,321.0,7.7,29.7,196.0,8.5,324.0,213.0
Aston Villa,184.0,0.0,5.3,178.0,200.0,161.0,269.0,283.0,197.0,200.0,202.0,234.0,157.0,201.0,181.0,220.0,188.0,66.9,156.0,140.0,137.0,281.0,330.0,258.0,258.0,194.0,187.0,133.0,229.0,70.8,320.0,230.0,187.0,163.0,6.2,214.0,143.0,33.5
Birmingham,188.0,5.5,0.0,181.0,204.0,164.0,258.0,273.0,200.0,188.0,191.0,223.0,160.0,190.0,185.0,223.0,192.0,70.2,160.0,143.0,140.0,284.0,333.0,262.0,247.0,183.0,177.0,136.0,218.0,74.0,324.0,219.0,190.0,167.0,8.6,217.0,146.0,36.7
Blackburn,358.0,178.0,181.0,0.0,49.1,30.4,442.0,457.0,23.8,355.0,375.0,407.0,63.1,374.0,70.3,178.0,88.9,215.0,64.3,42.7,56.9,160.0,206.0,364.0,431.0,368.0,361.0,102.0,402.0,115.0,201.0,385.0,360.0,337.0,171.0,388.0,36.0,161.0
Blackpool,381.0,201.0,204.0,49.2,0.0,55.6,465.0,480.0,68.6,378.0,398.0,430.0,86.2,398.0,115.0,222.0,133.0,238.0,87.3,86.1,82.1,213.0,241.0,408.0,454.0,391.0,384.0,146.0,425.0,138.0,236.0,408.0,383.0,360.0,194.0,411.0,59.0,184.0
Bolton,340.0,160.0,163.0,31.5,56.0,0.0,424.0,439.0,50.9,337.0,357.0,390.0,38.1,357.0,61.2,169.0,79.7,197.0,64.6,32.5,28.5,196.0,245.0,355.0,414.0,350.0,343.0,92.9,385.0,97.0,235.0,368.0,343.0,319.0,153.0,370.0,12.1,143.0
Bournemouth,188.0,269.0,272.0,444.0,466.0,427.0,0.0,156.0,463.0,192.0,166.0,175.0,423.0,165.0,411.0,450.0,418.0,268.0,422.0,406.0,403.0,511.0,560.0,353.0,83.4,164.0,115.0,362.0,51.5,336.0,550.0,252.0,191.0,170.0,277.0,235.0,409.0,297.0
Brighton,125.0,283.0,285.0,457.0,479.0,440.0,154.0,0.0,476.0,308.0,96.7,73.9,436.0,96.0,406.0,445.0,413.0,264.0,435.0,419.0,416.0,506.0,555.0,285.0,82.0,126.0,131.0,357.0,104.0,350.0,545.0,368.0,134.0,131.0,291.0,118.0,422.0,311.0
Burnley,377.0,197.0,200.0,23.3,68.4,49.7,461.0,476.0,0.0,374.0,394.0,427.0,82.4,394.0,40.8,182.0,92.9,234.0,83.6,46.8,56.5,141.0,186.0,368.0,451.0,387.0,380.0,106.0,421.0,134.0,181.0,405.0,379.0,356.0,190.0,407.0,55.3,180.0
Cardiff,259.0,185.0,182.0,349.0,371.0,332.0,195.0,314.0,368.0,0.0,244.0,264.0,328.0,244.0,364.0,403.0,371.0,245.0,327.0,311.0,308.0,464.0,513.0,437.0,250.0,243.0,185.0,315.0,221.0,242.0,503.0,69.0,261.0,248.0,179.0,313.0,314.0,204.0
Chelsea,16.8,202.0,205.0,377.0,399.0,360.0,165.0,96.9,396.0,240.0,0.0,13.4,356.0,2.9,312.0,305.0,318.0,169.0,355.0,339.0,336.0,411.0,460.0,200.0,112.0,6.3,63.9,263.0,125.0,259.0,450.0,301.0,32.3,38.8,210.0,17.6,342.0,231.0
Crystal Palace,20.6,216.0,218.0,390.0,413.0,374.0,174.0,74.0,410.0,259.0,14.7,0.0,369.0,14.9,325.0,331.0,332.0,182.0,369.0,352.0,349.0,429.0,478.0,202.0,115.0,20.0,82.8,276.0,134.0,272.0,468.0,320.0,42.3,52.4,224.0,23.2,356.0,244.0
Everton,338.0,158.0,161.0,61.6,84.0,38.1,422.0,437.0,81.0,335.0,355.0,388.0,0.0,355.0,96.3,204.0,115.0,195.0,1.3,58.5,54.5,231.0,280.0,412.0,412.0,348.0,341.0,127.0,383.0,94.9,270.0,280.0,340.0,317.0,151.0,368.0,30.3,141.0
Fulham,17.1,201.0,203.0,375.0,397.0,358.0,164.0,96.1,394.0,239.0,2.9,15.6,354.0,0.0,312.0,305.0,319.0,169.0,354.0,337.0,334.0,411.0,460.0,209.0,112.0,5.0,62.3,263.0,124.0,268.0,450.0,299.0,32.5,39.0,209.0,20.4,340.0,229.0
Huddersfield,302.0,182.0,185.0,71.1,115.0,61.2,410.0,407.0,41.0,371.0,312.0,358.0,96.3,311.0,0.0,115.0,25.6,155.0,95.8,45.7,59.8,141.0,190.0,282.0,408.0,307.0,329.0,50.9,370.0,128.0,181.0,402.0,305.0,281.0,185.0,332.0,70.8,175.0
Hull,298.0,220.0,223.0,179.0,222.0,169.0,448.0,445.0,150.0,409.0,350.0,357.0,204.0,349.0,114.0,0.0,96.4,193.0,203.0,153.0,167.0,180.0,229.0,240.0,446.0,345.0,367.0,106.0,409.0,205.0,220.0,440.0,312.0,319.0,231.0,312.0,178.0,219.0
Leeds,309.0,189.0,192.0,89.8,133.0,79.9,417.0,414.0,60.7,378.0,319.0,365.0,115.0,318.0,25.0,96.2,0.0,162.0,115.0,64.4,78.5,117.0,166.0,282.0,415.0,314.0,336.0,58.0,378.0,147.0,156.0,409.0,312.0,288.0,200.0,322.0,89.5,188.0
Leicester,159.0,69.1,71.5,218.0,241.0,202.0,267.0,264.0,238.0,251.0,169.0,214.0,197.0,167.0,155.0,193.0,162.0,0.0,197.0,180.0,177.0,254.0,303.0,214.0,265.0,164.0,186.0,106.0,227.0,102.0,294.0,282.0,161.0,138.0,79.8,189.0,184.0,97.2
Liverpool,338.0,157.0,160.0,63.2,85.7,64.2,422.0,437.0,82.6,334.0,355.0,387.0,1.3,354.0,95.8,203.0,114.0,195.0,0.0,58.0,53.9,230.0,279.0,412.0,411.0,347.0,340.0,127.0,382.0,94.4,269.0,280.0,340.0,316.0,151.0,367.0,31.9,141.0
Man City,320.0,140.0,143.0,43.8,86.9,33.5,405.0,419.0,47.6,317.0,338.0,370.0,58.6,337.0,46.3,154.0,64.9,177.0,58.2,0.0,7.6,181.0,230.0,303.0,394.0,330.0,323.0,60.0,365.0,77.1,220.0,348.0,323.0,299.0,134.0,350.0,45.0,124.0
Man United,318.0,137.0,141.0,57.9,82.4,28.9,402.0,417.0,57.2,315.0,335.0,367.0,54.1,334.0,60.5,168.0,79.1,175.0,53.6,7.5,0.0,195.0,244.0,392.0,391.0,327.0,321.0,76.0,362.0,74.5,234.0,345.0,320.0,297.0,131.0,348.0,40.5,121.0
Middlesbrough,402.0,282.0,284.0,160.0,213.0,196.0,510.0,507.0,141.0,470.0,412.0,450.0,231.0,410.0,141.0,180.0,117.0,254.0,230.0,180.0,194.0,0.0,70.7,366.0,507.0,407.0,428.0,162.0,470.0,263.0,50.9,501.0,405.0,381.0,292.0,406.0,205.0,280.0
Newcastle,451.0,331.0,333.0,205.0,240.0,245.0,559.0,555.0,186.0,519.0,460.0,499.0,280.0,459.0,190.0,229.0,166.0,303.0,279.0,229.0,243.0,69.2,0.0,415.0,556.0,455.0,477.0,210.0,519.0,312.0,23.8,550.0,454.0,429.0,341.0,455.0,254.0,329.0
Norwich,185.0,260.0,262.0,366.0,409.0,356.0,369.0,284.0,336.0,441.0,199.0,224.0,412.0,207.0,301.0,235.0,283.0,215.0,412.0,304.0,392.0,367.0,416.0,0.0,332.0,204.0,268.0,246.0,329.0,324.0,406.0,472.0,178.0,188.0,270.0,179.0,398.0,288.0
Portsmouth,151.0,257.0,260.0,431.0,454.0,415.0,81.9,82.6,451.0,251.0,113.0,115.0,410.0,112.0,408.0,446.0,415.0,265.0,410.0,394.0,391.0,507.0,556.0,316.0,0.0,127.0,84.9,359.0,31.9,324.0,546.0,312.0,153.0,132.0,265.0,172.0,397.0,285.0
QPR,15.3,193.0,195.0,367.0,390.0,351.0,163.0,125.0,387.0,238.0,6.0,19.4,346.0,5.5,306.0,300.0,313.0,163.0,346.0,329.0,326.0,405.0,454.0,203.0,126.0,0.0,61.8,257.0,123.0,253.0,445.0,299.0,26.8,33.3,201.0,21.8,333.0,221.0
Reading,77.0,187.0,190.0,361.0,384.0,345.0,117.0,132.0,381.0,181.0,62.4,82.4,340.0,61.9,329.0,368.0,336.0,186.0,340.0,323.0,320.0,429.0,478.0,250.0,83.9,61.2,0.0,280.0,77.0,254.0,468.0,241.0,79.3,66.7,195.0,131.0,327.0,215.0
Sheffield United,254.0,134.0,136.0,103.0,146.0,93.0,362.0,359.0,107.0,322.0,264.0,309.0,127.0,262.0,58.5,107.0,65.4,106.0,126.0,60.3,76.0,170.0,219.0,246.0,359.0,259.0,280.0,0.0,322.0,118.0,209.0,353.0,256.0,232.0,144.0,283.0,113.0,132.0
Southampton,147.0,228.0,231.0,402.0,425.0,386.0,49.9,105.0,422.0,222.0,124.0,134.0,381.0,124.0,370.0,409.0,377.0,227.0,381.0,364.0,361.0,470.0,519.0,312.0,32.0,123.0,73.5,321.0,0.0,295.0,509.0,282.0,149.0,129.0,236.0,193.0,368.0,256.0
Stoke,250.0,70.0,73.1,118.0,140.0,101.0,335.0,349.0,137.0,247.0,267.0,300.0,96.7,267.0,133.0,203.0,151.0,102.0,96.3,79.8,76.8,267.0,316.0,324.0,324.0,255.0,253.0,115.0,295.0,0.0,306.0,278.0,252.0,228.0,63.5,279.0,83.1,53.5
Sunderland,446.0,326.0,328.0,201.0,235.0,240.0,554.0,551.0,181.0,514.0,456.0,494.0,275.0,454.0,185.0,224.0,161.0,298.0,275.0,224.0,238.0,51.1,25.0,410.0,551.0,451.0,473.0,206.0,514.0,307.0,0.0,545.0,449.0,425.0,337.0,450.0,250.0,324.0
Swansea,315.0,222.0,219.0,386.0,408.0,369.0,252.0,370.0,405.0,70.1,301.0,321.0,280.0,300.0,402.0,440.0,408.0,282.0,280.0,348.0,345.0,501.0,550.0,474.0,307.0,300.0,242.0,353.0,277.0,279.0,540.0,0.0,318.0,305.0,216.0,370.0,351.0,242.0
Tottenham,7.8,184.0,187.0,358.0,380.0,341.0,188.0,134.0,377.0,263.0,32.6,43.8,337.0,31.0,302.0,307.0,309.0,159.0,336.0,320.0,317.0,405.0,454.0,178.0,151.0,27.7,86.9,253.0,148.0,249.0,445.0,324.0,0.0,32.0,195.0,19.3,323.0,212.0
Watford,30.2,164.0,166.0,337.0,360.0,321.0,173.0,135.0,357.0,248.0,40.0,85.4,316.0,38.4,281.0,320.0,288.0,138.0,316.0,300.0,296.0,381.0,430.0,189.0,136.0,35.1,71.2,232.0,133.0,228.0,420.0,308.0,32.5,0.0,175.0,49.8,303.0,192.0
West Brom,196.0,6.1,11.0,172.0,194.0,155.0,276.0,291.0,191.0,185.0,209.0,241.0,151.0,209.0,187.0,232.0,200.0,78.5,150.0,134.0,131.0,293.0,342.0,270.0,265.0,202.0,195.0,144.0,236.0,64.6,332.0,216.0,198.0,175.0,0.0,226.0,137.0,27.3
West Ham,8.5,217.0,219.0,390.0,413.0,374.0,236.0,126.0,410.0,257.0,19.9,23.9,369.0,22.5,334.0,311.0,325.0,191.0,369.0,352.0,349.0,409.0,458.0,182.0,180.0,18.9,80.8,285.0,196.0,281.0,448.0,318.0,21.8,51.5,227.0,0.0,355.0,245.0
Wigan,324.0,144.0,147.0,36.6,59.0,11.8,408.0,423.0,55.9,321.0,341.0,373.0,32.4,341.0,71.0,178.0,89.6,181.0,33.5,44.9,40.9,205.0,254.0,398.0,397.0,334.0,327.0,113.0,368.0,80.8,245.0,352.0,326.0,303.0,137.0,354.0,0.0,127.0
Wolves,214.0,34.2,37.3,161.0,184.0,145.0,298.0,313.0,181.0,211.0,231.0,263.0,140.0,230.0,176.0,218.0,187.0,96.1,140.0,123.0,120.0,279.0,328.0,288.0,287.0,223.0,217.0,131.0,258.0,54.0,318.0,242.0,216.0,192.0,27.7,243.0,126.0,0.0
